id,company_name,developer_role,date,title,content,upvote,downvote,comment_count,vibe
1137,Enosis Solutions,,"October 18, 2025","Good culture, Talented colleagues, Almost no office politics, Good salary in total BUT High pressure and workload","Pros:
Good salary in total. I mean if I calculate the total salary they give in a year, it would be higher than most of the other BD companies. Also, the increment is great for the first few years (in SE position). After that it is okay. Structured salary and increment.
Good culture with almost zero office politics. I was going through reviews of different companies, and I was quite surprised to read about the toxic cultures in some of them even in a few I used to admire a lot. Since I’ve been with my current company from the beginning of my career, and have always experienced a genuinely friendly environment and positive culture here, it really surprised me to see how different things can be elsewhere.
Good learning growth. Every employee is required to achieve a set of yearly goals, which include continuous development of technical knowledge. Also, the products that the company works on, need complex analytical ability and high growth to cope with. So, there’s simply no room to sit back and relax. You have to keep learning and evolving here.
Friendly and talented colleagues. You can discuss anything without hesitation with anyone. Also people are respectful towards each other.
Free football slot in every weekend.
Remote.
Cons:
Toooo much workload and pressure. Toooo hard to maintain work life balance.
Remote. Yeah I know I put it in `pros` but it is also in cons. Being remote is both blessing and curse.
A little bit of politics and favoritism is seen in senior level. Being favorite to your lead will ease your promotion, can get you an early promotion and can increase your salary level higher than other.
No hangout for devs. Only work, work and work.",11,2,3,Positive
1138,Enosis Solutions,,"May 13, 2025",Best environment except salary increment and office tours,"Pros:
1. One of the best in the Bangladesh
2. Prioritize Work Life Balance ✌️
3. Exceptional Leads ♥️
4. On time salary 😉
5. Work from home.
6. Free lunch + snaks + Tea.
7. Great salary for Juniors.
8. Learning and Growth scopes.
9. Respectful to Everyone no matter in which position you are.
Cons:
1. Salary structure not well defined for seniors
2. No office tours 🥲. Only teams can go by personally and it happens rare.
3. Not follow the Bangladesh Government Holiday 🤦.",9,3,3,Positive
1139,Enosis Solutions,,"May 09, 2025",Living up to its Reputation ✨,"👉 Let's start with the
GOOD
stuffs first -
Among the highest paying software companies in Bangladesh
On-time salary. Normally you get paid before the month even ends!
A huge deal in Bangladesh.
Hybrid work model. Work station is provided by Eno5i5. You can go full remote if you can make your way around your team, unless you are a Lead or Manager.
100%
Festival Bonuses plus special bonus 🔥
Fully subsidized lunch whenever you work onsite. You also get free evening snacks and unlimited tea, coffee & biscuits. You will love the foods served here unless you are a picky tiktoker guy or Rafsan the Chotobhai 😷
There's no late attendance. Working hour is also flexible. Depends on your work load and how you collaborate with your team.
You get to work with really talented and nice people as Eno5i5 always looks for the best in the industry.
The CEO is really chill.
The HR department is very co-operative and the policies are alright.
Office environment is great and has as good culture. There is also a dedicated imaam for leading salah in congregation.
Now what are the
CONS
? The answer is '
It Depends
'
As Eno5i5 has over
400+ employees
, you might unfortunately end up with toxic group or colleagues or management. It varies on the people you are working with. There is a lot of work load and as the clients are on the other side of the world (mainly North America), maintaining work life balance is pretty tough here especially if you are of the higher positions. The company is very strict with deadlines, so you'll be pushed to the limits. You might not always like the projects you work on. A lot complain about individual performances not being recognized or honored. If you love office provided gifts, parties, celebrations, surprises and picnics, you'll most be disappointed.
Obviously, every company has its bad sides. But considering the good stuffs I mentioned, I think it's worth the hassle. Especially if you compare Eno5i5 to the rest of the top software companies in Bangladesh. Always remember, Different people experience differently because they got different perspectives and expectations.",12,0,0,Positive
1140,Enosis Solutions,,"February 11, 2026",Day off regarding BD-Election 2026,দিনমজুর রাও আজকে ছুটিতে আর গুলশান এ এখনও একদল শ্রমিক মজদুরি দিতেসে,10,4,8,Negative
1141,Enosis Solutions,,"June 06, 2025",Eid Vacation,"Guess how many days they gave kurbani eid vacation?
1 Day.
Vacation: 6 june -8 june
7 and 8th june is already saturday and sunday.
So the only holiday we are getting is 6th june which is today.",8,0,0,Negative
1142,Enosis Solutions,,"May 30, 2025",অদ্ভুদ রকমের রিক্রুটমেন্ট,"কখনও শুনসেন যে ইন্টারভিউয়ে বলে 'আরে তোমার চাকরী নিশ্চিত। যাস্ট HR এর মেইলের অপেক্ষা করো।'??? শুনেন নাই। শুনার কথাও না। কিন্তু আমি শুনসি। বছরখানেক আগে একাধিক রাউন্ড পার করে ফাইনাল রাউন্ড ছিল QA ম্যানেজারের সাথে। পুরাটা ইন্টারভিউই যথেষ্ট ভালো গেসিলো। শেষে উনি আমাকে বলে যে আমার চাকরি নিশ্চিত, মেইলের অপেক্ষা করতে। Guess What? ১০ দিন পর আমার মেইল আসে HR থেকে। But that was a REJECTION MAIL!
কাহিনী এখানেই শেষ? জ্বি না! আমি তো ভেংগে পড়ি তখন যেহেতু আমি সদ্য ইউনিভার্সিটি পাশ গ্র‍্যাজুয়েট এবং কোথাও চাকরী পাচ্ছিলাম না। QA ম্যানেজারের কথা শুনে ভাবসিলাম যে যাক এবার একটা চাকরী হয়ে যাচ্ছে তাহলে! কিন্তু বিধি বাম! যাই হোক, আবার কাহিনীতে ফিরে আসি। এসবের প্রায় ১ মাস পর ওদের HR ফোন দেয়। ফোন দিয়ে বলে 'এখন আপনার একটা HR ইন্টারভিউ নিব, যেটা আমাদের ইন্টারভিউ প্রসেসের লাস্ট রাউন্ড'। আমি তো খুশি হয়ে গেসিলাম যে, তার মানে আগের রিজেকশনটা হয়ত ওরা উঠায় নিসে নইলে কাউকে শুনসেন যে ৩ নাম্বার রাউন্ডে রিজেকশন খেয়েও ৪ নাম্বার HR রাউন্ডে যাইতে? তো ভালো কথা, ফোনে এই রাউন্ড দিলাম। সবই কমন কোশ্চেন ছিল, তাই উত্তরও কমন দিলাম। যেহেতু আমার অনেক বন্ধু বান্ধব তখন এখানে চাকরী করতেসিলা তাই প্রশ্ন এবং উত্তরগুলা জানতাম। তো এরপর তো আমি শিওরই যে চাকরী হয়ে গেসে। HR রাউন্ডে আর কয়জনেরই বা আটকায় বলেন?
Again Guess What? আমাকে ২ দিন পর রিজেকশন মেইল দিসে! আমি এবার এত আকাশ থেকে পড়সি! আমার এসব কাহিনি Eno5i5 এর যারা জানত তারাও আকাশ থেকে পড়সিল আর বলসিল এবার ফোন দিয়ে গালাগালি কর। কারন এরকম 3rd Class recruitment আমরা কেউই কখন দেখি নাও। পরে সেদিন আমি HR কে কল দেই। মুখের উপর বলসি যে এসব ফাইজলামির মানে কি? আমাকে বলে 'ভাইয়া, অনেক সময় ক্যান্ডিডেট লাগলে রিজেকশন লিস্ট থেকেও HR ইন্টারভিউতে কল করি এন্ড জব কনফার্ম করি। তাই আপনার HR ইন্টারভিউটা আগে আগে করে ফেলসিলাম যাতে আপনাকে লাগলে ডিরেক্ট রিক্রুট করতে পারি। কিন্তু আপনার HR রাউন্ড নেওয়ার পর উনারা আপনাকে বাদ দিয়ে দেয়'।
অবস্থা বুঝেন। দেশের মোটামুটি নামকরা একটা কম্পানির রিক্রুটমেন্টের এই থার্ড ক্লাস অবস্থা। HR থেকে QA Manager কারোরই প্রফেশনালিজমের বালাইটুকুও নাই। তাইলে অন্য কোম্পানিগুলার কি অবস্থা!?",22,4,5,Negative
1143,Enosis Solutions,,"May 29, 2025",SQA Interview - Referrals Matters (Disheartening),"As a Tech grad from BD, most of us know Eno5i5 is a well-known company. So, I was very interested in working there. I always heard about the referral system there. But from the beginning, I have a thing of self-respect and am kind of adamant that I won't grab any job with others referring me.Though I know few seniors at eno5i5 who will gimme me refer if I request them but I applied through LinkedIn in usual way. TBH I knew there's very little chance I would get the interview call as huge applicants apply.
After 1.5 months they mailed about the assessment. HackerRank test-> Technical Interview ->Final HR Interview passed all the steps.
Technical Interview: A team Lead vai took the assessment on Google Meet. I did my best. And at end part he gave me vibe that he is convinced about almost all the answers.
HR Interview: After 7 days HR meeting took place. He asked stuffs about me and about prev job experiences. And bit of other casual talks. He was very friendly and gave me vibe like he was convinced with me too. (I gave a lot of interviews in my life XD I kinda know now the signs interviewer likes the candidate or not ). interviewer told me they will mail the decision within 2 weeks.
So I was very happy with the whole process. I worked very hard to prepare myself for the interviews of Eno5i5 and gave my best effort. And after the phases I was kinda sure they might choose me .
I kept my fingers crossed and really hoped I might get the job. After 14 days of no response so I mailed about follow up . No Reply
After around two months, they replied that vacancies have been filled up for the position. It was very sad for me. It's ok, it happens.
At this time I finally reached out to a senior vai of mine who works at Eno5i5 and asked him if he could gimme any info about my situation. He got back to me after few days telling ""You passed all phases, but among other candidates few of them had direct referrals from very senior positions like Senior/ Team lead etc. So they had to pick them ""
That was like breaking my heart into pieces. I know it's just a job and I moved on. I believe ALLAH wrote my riziq somewhere else.
But I really worked hard for the interviews and had high hopes. From a famous company like them, I did not expect that. I could have managed a refer, but did not, as I was confident I could ace it.
Never going to apply again at Eno5i5. If any job candidate reading this, I would suggest applying at eno5i5 with a reference or dont. Not saying they don't hire ppl without refer but nowadays they mostly give preference to referred ppl.",8,7,6,Negative
1144,Enosis Solutions,,"May 15, 2025","Reconsidered, Reassessed, Re-rejected – Thanks for the Hope, I Guess?","So I had heard a lot of good things about 3n05i5 and applied to one of their openings recently. Went through the usual: online problem-solving round → technical interview. The tech interviewers were actually nice and helpful, even though I struggled with quite a few questions. Honestly, I wasn’t too proud of my performance — felt like a 50-50 shot, in my opinion. I felt the outcome could go either way — didn’t get my hopes up, but didn’t write it off either. They said I’d hear back in 2 weeks, but I had to follow up after 35 days to finally get a rejection email around the 40-day mark.
Fair enough, figured I needed to improve and I moved on.
But here’s where it gets weird: about a week later, I got a call from their HR saying they reassessed and wanted to move forward with an HR interview. I agreed and joined the soonest available slot. The session went well — no tech, just discussions on culture, salary expectations, benefits, etc. Genuinely felt positive. They said they’d get back in 7–10 days.
I followed up on day 10 — they replied saying they needed more time and they're “still evaluating”. On day 16, I received the exact same template rejection saying I wasn’t a strong match
“based on current competencies.”
Now here’s the confusing part:
If my competencies weren’t a fit, why even recall me for an HR Round after rejecting once?
And why keep me hanging for another 20 days just to send another same vague rejection?
Sent a polite email asking for a brief feedback — got ghosted.
Not trying to rant, just sharing my experience so others can go in with realistic expectations.
Wasting a candidate’s time twice like this without proper communication isn’t a great look, especially for a company that’s generally well-regarded in the community.",12,7,3,Negative
1145,Enosis Solutions,,"June 09, 2025",Leave & Office Holiday Policy.,"Let's start with the good thing, they'll allow you 22 days' casual leave. Generally, there's no hard restriction on taking those leaves.
However, you'll have to inform the office around 25-30 days earlier, unless there's an emergency.
& There's no office politics, the environment is professional, you'll have mental peace and a good vibe from that side.
The office allows 13 public holidays, chosen by the office, but some of them will surely be eaten up by weekends.
And, they'll not reschedule, even if it's on EID.
So this time, there's only 1 Day Eid Vacation + 2 days Weekend. That's it!
Almost the same thing happened on the last EID; one day of the EID vacation was eaten up by the weekend.
So, if the plan is to provide 10 holidays, it should be declared so, and the major occasions should be prioritized.
There are more things to discuss, but let's keep those for some other time.
In general, BD software firms treat engineers as sugarcane and try to produce as much juice as possible, without wasting a single drop. I think this trend has increased in recent years.",5,1,1,Mixed
1155,The Softking,,"December 04, 2025",Interview Experience,ইন্টারভিউ দেওয়ার আগে মানুষের রিভিউ দেখে অনেক ভয়ে ছিলাম। কিন্তু যাওয়ার পর তেমন কিছু মনে হয়নি। সবাই খুব কো-অপারেটিভ ছিল। সব মিলিয়ে খারাপ লাগেনি।,1,3,0,Positive
